f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26
125.1204495	110.003074	9	1	0	0.75	6.657096019	2.902990541	1.737717832	0	0	0	0	0	1	1	0	1	1	2	1	0	1	0	0	26.02
127.099714	113.9979886	9	2	1	0.857142857	6.745874855	2.968144675	1.788059219	0	0	0	0	0	1	1	0	1	2	2	1	0	1	0	0	43.09
127.099714	113.9979886	9	2	1	0.714285714	6.775473441	2.989942377	1.804947321	0	0	0	2	0	0	0	0	1	2	2	1	0	0	0	2	35.25
109.0891494	98.003074	8	1	0	0.428571429	5.574408602	1.748568577	1.203430049	0	0	0	1	0	0	1	0	1	1	2	1	0	0	0	1	26.02
125.1142563	110.003074	13	1	1	0.25	2.842546747	2.646097475	1.54134677	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	26.02
129.0953776	117.0014772	9	2	1	0.714285714	6.745874855	2.968144675	1.788059219	0	0	0	1	0	0	1	0	1	1	2	1	0	0	0	1	26.02
129.0953776	117.0014772	9	2	1	0.714285714	6.745874855	2.968144675	1.788059219	0	0	0	2	0	0	1	0	1	1	2	1	0	0	0	2	26.02
153.1517496	134.003074	11	1	1	1	7.600932428	2.779864721	1.308641843	0	0	0	2	2	3	3	0	3	1	2	3	0	3	0	2	26.02
161.0874351	145.9700596	10	3	2	1	8.367370983	3.6003847	1.651198272	0	0	0	0	0	0	0	0	1	2	3	1	1	1	0	0	46.25
153.0612204	141.975145	10	2	2	0.25	7.506382979	2.99157128	1.461728395	0	1	0	1	0	0	0	1	0	1	2	1	0	0	0	0	26.02
111.1047994	98.003074	8	1	0	0.714285714	5.82987013	1.901327627	1.338218727	0	0	0	1	0	0	1	0	1	1	2	1	0	0	0	1	26.02
153.1517496	134.003074	11	1	1	1	7.600932428	2.478921037	1.099288909	0	0	0	1	2	3	3	0	3	1	2	3	0	3	0	1	26.02
113.0640775	105.0014772	8	2	0	0.333333333	5.50568521	1.708167643	1.168040705	0	0	0	1	0	0	1	0	1	1	2	1	0	0	0	1	26.02
113.1204495	98.003074	8	1	0	1	6.085628141	2.058167191	1.47805616	0	0	0	0	0	1	1	0	1	1	2	1	0	1	0	0	26.02
171.0695568	160.9913065	12	4	2	0.25	8.803370682	3.404318575	1.650782243	1	1	0	0	0	0	0	0	0	3	4	1	0	0	0	0	66.48
169.0703057	159.9998804	12	3	2	0.111111111	8.872764378	3.451270652	1.681087027	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	26.02
169.0902922	156.9963918	12	3	2	0.333333333	9.001659028	3.538944694	1.73795889	1	1	0	1	0	0	0	0	0	2	3	1	0	0	0	1	46.25
134.0843983	124.006148	10	2	2	0.125	6.96299435	3.128897407	1.419698254	1	1	0	1	0	0	0	0	0	2	3	1	0	0	0	1	49.87
159.1081705	141.975145	10	2	1	1	8.40699321	3.139586558	1.669274871	0	0	0	1	0	1	1	0	1	1	2	1	0	1	0	1	26.02
114.1174365	98.003074	15	1	1	0.142857143	1.363794494	2.478228729	1.073981897	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	26.02
129.1153641	113.9979886	9	2	2	1	7.032107623	2.669223008	1.432485137	0	0	0	1	0	1	1	0	1	2	2	1	0	1	0	0	35.25
167.1673997	146.003074	12	1	2	1	8.553468983	3.02449287	1.392841603	0	0	0	5	0	2	2	0	2	1	2	2	0	2	0	5	26.02
161.0874351	145.9700596	10	3	1	1	8.208911968	3.009581149	1.579679473	0	0	0	1	0	1	1	0	1	2	2	1	0	1	0	1	43.09
155.0768704	141.975145	10	2	1	0.5	7.763519669	2.364326722	1.580917793	0	1	0	0	0	0	0	1	0	1	2	1	0	0	0	0	26.02
139.0455703	129.975145	9	2	1	0.142857143	6.647233294	2.895773546	1.732154491	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	26.02
139.0550859	128.9768356	9	2	1	0.142857143	6.726144019	2.953634879	1.776830252	1	1	0	1	0	0	0	0	0	1	2	1	0	0	0	1	26.02
139.1360995	122.003074	10	1	1	1	6.656627418	2.228786	1.072642205	0	0	0	0	0	2	2	0	2	1	2	2	0	2	1	0	26.02
137.1204495	122.003074	10	1	1	0.555555556	7.545932203	2.586364796	1.47982474	0	0	0	1	0	0	1	0	1	1	2	1	0	0	0	1	26.02
174.9632759	168.9163257	8	3	1	0.2	5.849533679	2.327173703	1.108895077	0	1	0	0	0	0	0	1	0	2	2	1	0	0	0	0	39.16
127.1360995	110.003074	9	1	2	1	7.071607143	3.21003996	1.683432023	0	0	0	1	0	1	1	0	1	1	1	1	0	1	0	0	12.03
141.0345269	132.9719267	9	2	1	0.142857143	6.588063754	2.852566646	1.698902356	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	26.02
141.0612204	129.975145	9	2	2	0.428571429	6.775473441	2.989942377	1.531067087	0	1	0	0	0	0	0	1	0	1	2	1	0	0	0	0	26.02
123.1017028	110.003074	11	1	1	0.25	4.069177516	2.646097475	1.54134677	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	26.02
141.0589921	132.9963918	10	3	1	0.142857143	7.022233446	2.662619175	1.247379922	1	1	0	0	0	0	0	0	0	2	3	1	0	0	0	0	46.25
133.0891494	122.003074	10	1	1	0.111111111	6.874155251	2.564132537	1.377495897	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	26.02
143.0404849	133.9700596	9	3	2	0.333333333	6.57820331	2.84538144	1.432478222	0	1	0	0	0	0	0	1	0	2	2	1	0	0	0	0	35.25
135.0684139	125.9979886	10	2	1	0	6.67682243	2.434522575	1.285506106	1	1	0	0	0	0	0	0	0	2	3	1	0	0	0	0	46.25
145.0703057	135.9998804	10	3	1	0.428571429	7.407526882	2.500463565	1.637950139	0	0	0	0	0	0	1	0	1	1	2	1	0	0	0	0	26.02
128.1313485	112.006148	9	2	1	1	7.032107623	2.27202101	1.662813599	0	0	0	0	0	1	1	0	1	2	4	1	0	1	0	0	52.04
143.1310142	125.9979886	10	2	1	1	8.020806452	2.887598098	1.703725895	0	0	0	0	0	1	1	0	1	2	3	1	0	1	0	0	46.25
137.0640775	129.0014772	10	2	1	0	6.805074799	2.518544061	1.345015863	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	26.02
137.084064	125.9979886	10	2	1	0.25	7.091358575	2.708944457	1.481523026	1	1	0	1	0	0	0	0	0	2	3	1	0	0	0	1	46.25
137.084064	125.9979886	10	2	1	0.375	7.061731844	2.689062691	1.467165814	0	0	1	0	0	0	1	0	1	2	2	1	0	0	0	0	43.09
137.084064	125.9979886	10	2	1	0.25	7.091358575	2.708944457	1.481523026	1	1	0	1	0	0	0	0	0	2	3	1	0	0	0	0	46.25
137.1204495	122.003074	10	1	1	0.555555556	7.387758621	2.9100226	1.628000435	0	0	0	2	0	0	1	0	1	1	2	1	0	0	0	2	26.02
180.9519755	175.9128504	9	4	1	0.2	7.348225108	2.882979196	1.582254766	0	1	0	0	0	0	0	1	0	1	2	1	0	0	0	0	26.02
167.0768704	153.975145	11	2	2	0.555555556	7.316684977	2.610134676	1.466451279	0	1	0	1	0	1	1	1	1	1	2	2	0	1	0	0	26.02
99.10479942	86.003074	7	1	1	1	5.103678161	2.31410722	1.164181282	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	0	12.03
145.0703057	135.9998804	10	3	1	0.428571429	7.407526882	2.500463565	1.416876131	0	0	0	1	0	0	1	0	1	1	2	1	0	0	0	1	26.02
129.0345269	120.9719267	8	2	0	0.333333333	5.859366106	1.919220457	1.354101512	0	0	0	1	0	0	1	0	1	1	2	1	0	0	0	1	26.02
139.0797275	129.0014772	10	2	1	0.25	7.219769484	2.795579	1.54435322	1	1	0	1	0	0	0	0	0	1	2	1	0	0	0	1	26.02
139.0797275	129.0014772	10	2	1	0.25	7.219769484	2.795579	1.54435322	1	1	0	1	0	0	0	0	0	1	2	1	0	0	0	1	26.02
139.099714	125.9979886	10	2	1	0.625	7.476723586	2.971125758	1.672952222	0	0	0	2	0	0	1	0	1	2	2	1	0	0	0	2	43.09
109.0817235	98.003074	9	1	2	0.142857143	4.098215458	2.478228729	1.073981897	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	26.02
131.0768704	117.975145	8	2	0	1	6.430336943	2.275364016	1.673790393	0	0	0	0	0	0	0	0	1	1	2	1	1	1	0	0	26.02
